index,name,symbol,country
1,Ally Financial Inc.,ALLY,USA
2,Associated Banc-Corp,ASB,USA
3,Axos Financial Inc.,AX,USA
4,Banc of California Inc.,BANC,USA
5,BancorpSouth Bank,BXS,USA
6,Bank of America Corporation,BAC,USA
7,Bank of Hawaii Corporation,BOH,USA
8,BankUnited Inc.,BKU,USA
9,Bar Harbor Bankshares Inc.,BHB,USA
10,Berkshire Hills Bancorp Inc.,BHLB,USA
11,Blue Ridge Bankshares Inc.,BRBS,USA
12,Byline Bancorp Inc.,BY,USA
13,Cadence Bancorporation,CADE,USA
14,Capital One Financial Corporation,COF,USA
15,Central Pacific Financial Corp,CPF,USA
16,CIT Group Inc,CIT,USA
17,Citigroup Inc.,C,USA
18,Citizens Financial Group Inc.,CFG,USA
19,Comerica Incorporated,CMA,USA
20,Community Bank System Inc.,CBU,USA
21,Cullen/Frost Bankers Inc.,CFR,USA
22,Customers Bancorp Inc,CUBI,USA
23,Evans Bancorp Inc.,EVBN,USA
24,F.N.B. Corporation,FNB,USA
25,FB Financial Corporation,FBK,USA
26,First Commonwealth Financial Corporation,FCF,USA
27,First Horizon Corporation,FHN,USA
28,First Republic Bank,FRC,USA
29,Flagstar Bancorp Inc.,FBC,USA
30,Great Western Bancorp Inc.,GWB,USA
31,Hilltop Holdings Inc.,HTH,USA
32,JP Morgan Chase & Co.,JPM,USA
33,KeyCorp,KEY,USA
34,M&T Bank Corporation,MTB,USA
35,Megalith Financial Acquisition Corp.,MFAC,USA
36,Metropolitan Bank Holding Corp.,MCB,USA
37,National Bank Holdings Corporation,NBHC,USA
38,New York Community Bancorp Inc.,NYCB,USA
39,Park National Corporation,PRK,USA
40,PNC Financial Services Group Inc. (The),PNC,USA
41,Prosperity Bancshares Inc.,PB,USA
42,Provident Financial Services Inc,PFS,USA
43,Regions Financial Corporation,RF,USA
44,Silvergate Capital Corporation,SI,USA
45,State Street Corporation,STT,USA
46,Sterling Bancorp,STL,USA
47,Synovus Financial Corp.,SNV,USA
48,The Bank of New York Mellon Corporation,BK,USA
49,Tompkins Financial Corporation,TMP,USA
50,Truist Financial Corporation,TFC,USA
51,U.S. Bancorp,USB,USA
52,Webster Financial Corporation,WBS,USA
53,Wells Fargo & Company,WFC,USA
54,Western Alliance Bancorporation,WAL,USA
